成功解析 31 個模組。
--- Starting Single-Pass Warm-up & Weight Calculation ---
Total samples for warm-up: 5000
Accurate time per iteration: 0.0207342 ms
Average Area/AR cost: 520466
Average INL cost: 118832
First round. 
Calculated weights -> w_area: 1, w_inl: 4.37985
Adaptive SA params (Strategy B): max_iter=310, cooling_rate=0.999872, num_steps=89854
Temp: 8129.19, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.31
No improvement for 10 steps. Applying punishing cooldown.
Temp: 7884.27, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 7883.26, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.28
Temp: 7882.25, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 7881.24, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 7880.23, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.29
Temp: 7879.23, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 7878.22, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 7877.21, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 7876.20, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 7875.19, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 7874.18, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.37
Temp: 7873.17, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.38
Temp: 7872.16, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 7871.15, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 7870.14, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.35
Temp: 7869.14, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 7868.13, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 7867.12, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.36
Temp: 7866.11, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 7865.10, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.30
No improvement for 10 steps. Applying punishing cooldown.
Temp: 7628.14, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 7627.17, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.35
Temp: 7626.19, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 7625.21, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.29
Temp: 7624.23, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 7623.26, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 7622.28, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 7621.30, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.35
Temp: 7620.33, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 7619.35, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.28
Temp: 7618.38, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.29
Temp: 7617.40, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.35
Temp: 7616.42, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 7615.45, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 7614.47, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 7613.50, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.28
Temp: 7612.52, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.39
Temp: 7611.55, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 7610.57, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 7609.60, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.35
No improvement for 10 steps. Applying punishing cooldown.
Temp: 7380.33, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 7379.39, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 7378.44, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 7377.50, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.29
Temp: 7376.55, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.36
Temp: 7375.61, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 7374.66, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 7373.72, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 7372.77, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 7371.83, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.36
Temp: 7370.88, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 7369.94, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 7368.99, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 7368.05, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 7367.11, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 7366.16, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.35
Temp: 7365.22, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 7364.27, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 7363.33, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 7362.39, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.32
No improvement for 10 steps. Applying punishing cooldown.
Temp: 7140.57, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.29
Temp: 7139.66, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 7138.74, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 7137.83, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 7136.91, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 7136.00, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.28
Temp: 7135.09, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
